OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน
1922,ชุมชนรุ่งเรือง 1,1046,104603,2,13.84581287,100.7084446,เขตคลองสามวา,แขวงบางชัน,ชุมชนชานเมือง
1923,ชุมชนสุขใจสามัคคี,1046,104605,2,13.87022889,100.7740375,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง
1255,ชุมชนสถานีรางโพธิ์,1050,105001,2,13.6401267,100.3951114,เขตบางบอน,แขวงบางบอน,ชุมชนชานเมือง
399,ชุมชนเคหะชุมชนร่มเกล้า โซน 4,1011,101102,5,13.76513214,100.7346734,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง
400,ชุมชนรามอินทราเนรมิต,1010,101001,5,13.8093236,100.711138,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง
404,ชุมชนหมู่บ้านปรีชา 10,1010,101001,5,13.80358467,100.7252742,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง
406,ชุมชนออมทรัพย์,1010,101002,5,13.78988247,100.7520941,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนเมือง
408,ชุมชนหมู่บ้านสุภาวัลย์-เทพารักษ์,1010,101001,5,13.80283158,100.7243993,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง
813,ชุมชนรัตนาวลัย,1036,103604,5,13.90945068,100.5870205,เขตดอนเมือง,แขวงดอนเมือง,ชุมชนเมือง
441,ชุมชนหมู่บ้านวาสนา,1010,101001,5,13.82369237,100.7192529,เขตมีนบุรี,แขวงมีนบุรี,ชุมชนเมือง
444,ชุมชนโครงการร่วมกันสร้าง,1006,100601,5,13.78905917,100.6299856,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง
445,ชุมชน 101 บึงทองหลาง,1006,100601,5,13.79447821,100.6279053,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง
446,ชุมชนสุขสันต์ 26,1006,100601,5,13.8001465,100.6332164,เขตบางกะปิ,แขวงคลองจั่น,ชุมชนเมือง
461,ชุมชนหมู่บ้านไปรษณีย์,1005,100502,5,13.85779515,100.6508994,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
462,ชุมชนหมู่บ้านแหลมทองพัฒนา,1005,100502,5,13.85146657,100.6403551,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
463,ชุมชนหมู่บ้านคงหิรัญ,1005,100502,5,13.85241852,100.6385764,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
465,ชุมชนสุขสันติ,1005,100502,5,13.85173932,100.6360647,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
466,ชุมชนหมู่บ้านเก้าแสนสอง,1005,100502,5,13.84850697,100.6355333,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
467,ชุมชนหมู่บ้านในฝันเคหะธานี,1005,100502,5,13.84897259,100.625333,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
468,ชุมชนหมู่บ้านพัฒนาคลองหลุมไผ่,1005,100502,5,13.8469903,100.6230251,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
485,ชุมชนหมู่บ้านเฉลิมสุข 9,1005,100502,5,13.85328411,100.6294149,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
486,ชุมชนหมู่บ้านศิริชัย,1005,100502,5,13.85032633,100.6256477,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
491,ชุมชนหมู่บ้านอนันต์สุขสันต์ รุ่น 18-20,1005,100502,5,13.88123913,100.6337919,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
495,ชุมชนสุขฤดี,1005,100502,5,13.86975947,100.6500033,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
496,ชุมชนหมู่บ้านเสนาวิล่า,1005,100502,5,13.87137335,100.6492654,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
500,ชุมชนหมู่บ้านศิริวงศ์,1005,100502,5,13.85169845,100.6299959,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
501,ชุมชนหมู่บ้านบางเขนวิลล่า,1005,100502,5,13.8628398,100.6305269,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนเมือง
1643,ชุมชนหลังตลาดศูนย์การค้าหนองแขม หมู่ 2,1023,102302,5,13.70504942,100.3414507,เขตหนองแขม,แขวงหนองแขม,ชุมชนเมือง
1644,ชุมชนหรรษามาเจริญ,1023,102302,5,13.70414269,100.3436184,เขตหนองแขม,แขวงหนองแขม,ชุมชนเมือง
